id;kategoria;KTO;CO;TRIGGER;GDZIE;KIEDY
1;BIZNES;Holandia;inflacja;przekroczyła;Holandia;
2;BIZNES;Puls Biznesu;funduszy unijnych;alarmuje;Polska;
3;BIZNES;Skarb Państwa;Polski Holding Hotelowy;stworzy;Polska;
4;BIZNES;Polska;wzrost PKB;prezentuje;Polska;pierwszy kwartał 2020 r.
5;BIZNES;elektrownia Datteln 4;działalność;uruchomiona;Niemcy;30 maja 2020 r.
6;BIZNES;Agencja Moody’s;prognozę wzrostu PKB;skorygowała;;
7;BIZNES;Niemcy;gospodarka;zostają w tyle;Niemcy;
8;PRZESTEPSTWO;Daniel Obajtek;majątku;wyprowadzania;Polska;
9;BIZNES;Adam Glapiński;stóp procentowych;wzrost;Polska;
10;BIZNES;TUIK;inflacja;wyniosła;Turcja;czerwiec
11;BIZNES;Bartosz Marczuk;wysokości emerytur;ujawnił;Twitter;
12;BIZNES;Christine Lagarde;MFW;będzie kierowała;;kolejne pięć lat
13;BIZNES;LOT;regularne rejsy;uruchomiły;Warszawa - Kowno;
14;BIZNES;najmniejsze firmy;składek emerytalnych;uniknąć;Polska;
15;BIZNES;rodacy;sytuację finansową;oceniają;Polska;
16;BIZNES;związek rolników;winobranie;zakończyło się;Włochy;
17;BIZNES;Niemcy;przewozów ciężarówkami;zelektryfikować;Niemcy;w ciągu 10 lat
18;POLITYKA;Olaf Scholz;dostaw gazu;wstrzymanie;Tokio;czwartek
19;BIZNES;małe i średnie przedsiębiorstwa;kondycja;poprawia się;;
20;POLITYKA;Marlena Maląg;wsparcie dla firm;ruszy;Wrocław;
21;BIZNES;gospodarka;branża elektroniczna i motoryzacyjna;stabilnymi;Korea Południowa;
22;POLITYKA;Tadeusz Kościński;podatku;nie podwyższamy;Polska;w przyszłym roku
23;POLITYKA;Anna Zalewska;porozumienie;zostać podpisane;;do końca stycznia
24;BIZNES;spółka OKD;działalność wydobywcza;zakończyć;Czechy;2023 r.
25;PRZESTEPSTWO (zatrzymać);podkarpackie służby celno-skarbowe;papierosy i alkohol;zatrzymały;polsko-ukraińskie przejścia graniczne;od początku roku
26;BIZNES;PGNiG;ładunek LNG;sprowadziło;Polska;niedziela
27;BIZNES;Leszek Skiba;sumy bilansowej;wzroście;Polska;
28;BIZNES;Komisja Europejska;pomocy publicznej;zgodziła się;Włochy;wtorek
29;BIZNES;warszawski sąd okręgowy;termin rozprawy;wyznaczył;Warszawa;4 listopada
30;BIZNES;ropa;ceny;tanieje;USA;
31;POLITYKA;Marcin Roszkowski;solidarność europejską;burzyć;UE;
32;POLITYKA;Michał Kurtyka;projekt przepisów;przygotowaliśmy;Polska;
33;BIZNES;Rada Polityki Pieniężnej;stopy procentowe;podniesie;Polska;czwartek
34;POLITYKA;Jarosław Gowin;ZUS;obniżenie;Polska;
35;BIZNES;brytyjska gospodarka;wzrost;silniejszy;Wielka Brytania;
36;BIZNES;USA i UE;metali przemysłowych;zwiększyły;Rosja;2022 r.
37;BRAK_ZDARZENIA;idea;zmianę świata;narodzić się;Europa Środkowa;
38;POLITYKA;Wiesław Janczyk;Polskę z przepaści deficytu;wyciąga;Polska;
39;BIZNES;rynek roślinnych zamienników;wartość;wzrósł;Polska;ubiegły rok
40;BIZNES;ktoś;błąd;popełnić;;
41;BIZNES;banki;oddziałów bankowych;zamkniętych;Hiszpania;2021 rok
42;POLITYKA;Emmanuel Macron;wykupu gruntów;zapowiedział;Francja;
43;BIZNES;ministerstwo transportu;Volkswagen;nie manipulował;Niemcy;niedziela
44;BRAK_ZDARZENIA;;;;;
45;BIZNES;węgierski rząd;postępowanie konsumenckie;wszczął;Węgry;
46;PRZESTEPSTWO;błąd w nazwie;kradzieży;zapobiec;;
47;PROTEST;właściciele barów i restauracji;list;wysłali;Rzym;
48;BIZNES;świat;sprzedaży broni;spadek;;piąty rok z rzędu
49;PRZESTEPSTWO;gang;miliony;inwestował;Polska;
